winners,accountname,desc,role,class,apm,build,example1,example2,example3,chatcode,gearcode
Best Support,rekinetics.6183,Healing Alacrity Specter!,Support,Thief,13,http://gw2skills.net/editor/?PagAwilhyCZpMWWLeKXnxfA-zRJYqRDfZkYCUdB47s0+mF-e,https://youtu.be/m8-sRZjV9Bo,,,[&DQUUJSwnRz8VGwAAuwEAAAgbAAAGGwAAERsAAAAAAAAAAAAAAAAAAAAAAAA=],
Most Creative,Bovan.9481,"There is a lot to talk about but I'll do my best to keep it short.

This is a heal and alacrity Specter build. The main goal was to make a build that doesn't require that many button presses while still maintaining alacrity without any issues, and passively sustain the squad through several traits that interact with eachother. It ended up being so useful that we did our first Mai Trin CM kill with it right after the patch hit.

The build overstacks so much alacrity that you can just use one of your wells every couple seconds and shortly after that you will have hit the 30 second cap on alacrity. Every shadowstep you do also does several other things. To begin with, every well is also a shadowstep so the following effects trigger with every well you press
-Shadow Saviour in Shadow Arts pulses a heal for you and allies.
-Traversing Dusk heals and revives around you.
-Any barrier on you breaks, and is distributed to allies.
-Monk Runes trigger increasing your healing output.
You have many ways to gain barrier as well which as I mentioned before will shatter after a shadowstep and is granted to allies. You have so much base health, and so much extra health in shroud, that this barrier is totally not needed for you. However your squishier allies surely will benefit from the protection it grants.

Outside of the alacrity and wells, you can also use sword 2 over and over to spam shadowsteps making your traits trigger and pulse more healing. Shadow Shroud also needs to be mentioned since it is basically always full, and it gives you a huge amount of health. Even better attacking in shroud gives one of your allies healing, and leaving shroud gives allies around you a massive heal. Any overhealing is even turned into barrier.

Using Siphon on enemies or allies gives you barrier as well which you can share around, and it also gives allies might, fury, swiftness and vigor. Well of Bounty also pulses boons and this one uniquely pulses boons which are currently not present on people inside it. It can apply very unique and hard to get boons like resistance, aegis or stability.

The build is very forgiving. You can freely take any elite you'd like, and swap out one of your wells for any utility of your choice. You already have a lot of breakbar damage from offhand pistol but you can without any issues even slot in Well of Silence for another huge 500 breakbar damage on a relatively low cooldown.

Honestly there is just so much more you can do with very little work. But this has turned into a large essay already.


I didn't get a proper video for this but if you want to try something fun, you can also run sanctuary runes if you are with another healer in a squad. Sanctuary runes give you barrier equal to 20% of all healing you get, and you can shatter that barrier and give it to allies with shadowsteps. ",Support,Thief,9,http://gw2skills.net/editor/?PaCBsixrlhyUZssUWLeOXnxfA-zRJYvxfhkYIUdCkeF47s0+mF-e,https://youtu.be/OHLSi9wzyas,,,[&DQUUJywnRz8VGwAABRsAAAYbAAAIGwAAERsAAAAAAAAAAAAAAAAAAAAAAAA=],
Best DPS,Thor.3267,"This is my Condition Signet Mechanist build! It features all signets with passive self heal, 5 man barrier, 30 confusion and 17 apm!",DPS,Engineer,17,http://gw2skills.net/editor/?PegAkqlxyeZwMXWMOWL5xaA-zRJYmRDfZEXC0RBo5BJI2AvmUcWB-e,https://www.youtube.com/watch?v=0YOsdhOZsi8,,,[&DQMGKyY5RjUNGwAAGhsAAA4bAAAQGwAACRsAAAAAAAAAAAAAAAAAAAAAAAA=],
Best Support,Sutepun.9450,"An engineer loadout that compresses two DPS support builds with only one equipment template. This allows for a player to easily swap between the two without sacrificing their ""main"" engineer build.",Support,Engineer,19,http://gw2skills.net/editor/?PeQAQlRw4YNMI2JO2LvtWA-zRZYBRBtaLIC4QUtHGRJQVBoOLjqsB-e,https://youtu.be/_OAR03fn2fc,http://gw2skills.net/editor/?PeQAQlxy4YusXWMO2LvRVA-zRZYBRBtaLIC4QUtHGRJQVBoeQCgNAWGVbD-e,,[&DQMGOyYvKy3ZEgAABwEAACcTAACuEgAAgxIAAAAAAAAAAAAAAAAAAAAAAAA=],
Most Creative,Xyonon.3987,"I believe I've found an interesting interaction that promotes a rather unique gameplay on Power DPS Mechanist for Raids / Strikes. While I'm far below the limit of 20 APM and could include more actions to increase the DPS by a small amount - I decided not to do so. This is due to A) the free utility slot the build offers that will generate a little more APM in actual Raids / Strikes and B) so the player can focus even better on the fight and use spare APM to dodge / CC etc. If you have any questions or need more information, just dm me on Discord! (Xyonon#4633)",DPS,Engineer,11,http://en.gw2skills.net/editor/?PegAk6lxi9ycZx44u8G%2FA-zRIYR0wXG1mAVUA2eQCjNwrhCnRA-e,https://youtu.be/CuWAq1kaw0k,,,[&DQMGNyYvRh8NGwAAAAAAABobAAAQGwAACRsAAAAAAAAAAAAAAAAAAAAAAAA=],
Best DPS,GoE (See Below),"A low apm power soulbeast build providing minor group support with spirits, stance share and the versatility of ranger pets",DPS,Ranger,18,http://gw2skills.net/editor/?POgAwelJwAZIMFmJWqX7P3JsD-zRIYR0wXG1mAVUA2ONUYGA-e,https://youtu.be/Snx3ws1wLrM,https://www.youtube.com/watch?v=u6VsqOhX8Lg&ab_channel=Handford,,[&DQQeNSA7Ny4lDwAApQEAALwAAAC9AAAALhYAABEAAAAAAAAAAAAAAAAAAAA=],
Best Support,GoE (See Below),"A low apm condi soulbeast build providing minor support and utility through spirits, stance share, a fast high cc skill and the versatility of ranger pets",DPS,Ranger,20,http://gw2skills.net/editor/?POQAUlRwQYKMJmJWaP3P3RcE-zRJYmRB/YEPB6UA+mmUcWB-e,https://youtu.be/avMFnt67mm0,https://www.youtube.com/watch?v=ms2jxVCaE4M&ab_channel=Handford,,[&DQQeLSE3Ny4uFwAAvAAAAL0AAADpFgAALhYAACUAAAAAAAAAAAAAAAAAAAA=],
Most Creative,Sayrann.1356,"It's a condition dps support Soulbeast which deals good DPS, supports your allies via stances and spirits and has good utility for itself

For damage you just use Sharpening Stone, Vulture Stance, One Wolf Pack, Crippling Shot, Primal Cry and Maul on CD. Since One Wolf Pack scales with allies your damage will be higher in actual encounters
In addition, you are supporting your allies because of Leader of the Pack (poison with Vulture Stance, condi cleanse and healing with bear stance) and Sun Spirit. Sun Spirit can be swapped out for either another spirit (Stone Spirit (prot), Frost Spirit (power damage), Storm Spirit (Vulnerability) or another stance (Dolyak Stance (stability), Griffon Stance (Endurance Regen), Moa Stance (extremely good boon support and boon duration buff)
You heal yourself every 3 seconds because of Natural Healing. You buff yourself with Fury and Quickness because of Live Fast whenever you press F3 and you extend the duration of every boon on yourself by 2 seconds everytime you get quickness because of Essence of Speed (5 seconds CD), which makes this build not as reliant on others while also supporting others
Always always always always flank. Shortbow skills deal a lot more DPS when you flank. Not flanking decreases your DPS significantly
Concussion Shot is a CC. Shortbow 2 can be used for a pretty good DPS increase but it will higher your APM by a lot.",Support,Ranger,20,http://gw2skills.net/editor/?POQAUlRwUYSsPmJWaXeP1JkC-zRJYmRB/YEPB6UA+mGQcWB-e,https://www.youtube.com/watch?v=oS_ZeCGK0jU,https://dps.report/k8UC-20220413-161848_golem,,[&DQQeLSAeNyouFwAAvQAAAOkWAAC/AAAALhYAAAMAAAAAAAAAAAAAAAAAAAA=],
Best DPS,Locogeke.2537,"This is a condi tempest build, it is based around fire attunement. It is aimed to proved 25 might to the subgroup, decent DPS un PUGS (20k) and is good for handling mechanics while your elementals do damage for you.",DPS,Elementalist,10,http://gw2skills.net/editor/?PGkAs2lZwuYasKGJOqOmtPA-zRJYmRDfZkQB0RCo5sAzZF-e,https://youtu.be/pniqlGTtBVs,https://youtu.be/NCskKx_SNiE,https://youtu.be/Am1hrAITKPY,[&DQYfFRomMB90AAAAywAAAJEAAAByAAAAJgAAAAAAAAAAAAAAAAAAAAAAAAA=],
Best Support,Jzaku.9765,"Thanks to the 10 man target nerf, now Tempest can integrate the overpowered healing and Rez power of Staff + Arcane traitline into your favourite Boon Tempest build. Burst heal your group with just a press of a button! (read: Wash the Pain Away

The core concept is to maximize Water attunement (and thus Soothing Power boosted Soothing Mist) uptime by spacing out Protection on Earth Att from Arcane and Tempest's ability to generate extra Magnetic Aura for Transmute Earth. ",Support,Elementalist,20,http://gw2skills.net/editor/?PGQAYlRwWYYsGWJm0XVteA-zRRYQBdoGFc4lR1FQ6JgvzifbWA-e,https://youtu.be/VDT5mYUkBqE,https://youtu.be/Xm54XLvsVY4,https://youtu.be/L6HlEVzQqhY,[&DQYROiUVMD3HEgAAwxIAAI8AAAB0EgAAmRIAAAAAAAAAAAAAAAAAAAAAAAA=],
Most Creative,Micro Hard.3601,"20k dps D/D Quickness Catalyst. Build provides 25might, fury, quickness, prot, and high resistance. Can trade prot and resistance for vigor and resolution by swapping to water instead of earth in the rotation.
Exchanging the fire traitline for arcane with the same rotation provides identical 20k dps in addition to having higher boon duration and the revive trait; however, the fire traitline has the potential to do more dps with additional apm, but that would exceed the requirements.",Support,Elementalist,20,http://en.gw2skills.net/editor/?PGgAg2lZwoYVsLGJO6KbRfA-zRRYBRDB2JcovwCjoEoqIMPIhxG4tw%2FoF-e,https://www.youtube.com/watch?v=I76wkJcLpxw&feature=youtu.be,"https://dps.report/TRa1-20220413-192530_golem 19APM, 20K dps, Arcane traitline, 7 boons",,[&DQYfHSkbQz50AAAAvgEAAHIAAADLAAAAJgAAAAAAAAAAAAAAAAAAAAAAAAA=],
Best DPS,Micro Hard.3601,"34 3k DPS Harbinger Pistol/Warhorn. This is a standard dps role. It has access to quite a bit of cc in the build. The rotation is more focused on simple concepts and priorities rather than a static follow X steps outlined in the comments section of the video. ",DPS,Necromancer,18,http://gw2skills.net/editor/?PSgEoEWGKriBy0YkYxeVHfB-zRRYmRDvcEMlRuFVHJgwHkgYz/akx0G-e,https://youtu.be/t8dzvHHNd-Y,https://dps.report/4Icm-20220426-233507_golem,,[&DQgnNjI1QC/nGgAAcAEAAIAAAABvAQAAkgAAAAAAAAAAAAAAAAAAAAAAAAA=],
Best Support,Angrax.9420,"It is a Support Harbinger build
This build is easily capeable of maintaining Quickness, Fury and Swiftness for your subgroup while providing the benefits the good revive power of Blood Magic. You will heal quite a bit with this build but you will probably still need a ""main"" healer. I think as kind of an offheal support this build can work quite well.",Support,Necromancer,20,http://en.gw2skills.net/editor/?PSgEoEWGKLlxy0Yt4wNVHVB-zRRYVRzXOaQGlRuJQ6Fg3TjMO3A-e,https://youtu.be/coMYDfvR88Y,https://youtu.be/W-6Bq54_tjI,,[&DQg1LhM1QCrnGgAA7BoAANQaAABvAQAA6BoAAAAAAAAAAAAAAAAAAAAAAAA=],
Most Creative,lcpdragonslayer.7895,25k DPS on Harbinger using only 2 fingers :D,DPS,Necromancer,20,https://i.imgur.com/r36zHT1.png,https://youtu.be/cvffhAEi4qw,https://dps.report/hXyG-20220419-150908_golem,https://dps.report/1e0E-20220419-151230_golem,[&DQgnOjI1QD+bAAAAdwEAAG8BAABwAQAAlQAAAAAAAAAAAAAAAAAAAAAAAAA=],
Best DPS,ntiCe.9071,"Low intensity variation of the ""staxe"" mirage variant (Staff and axe plus pistol). It is a very competetive dps build with extremely strong defensive capabilities and strong boon coverage (~19might and ~40% alacrity for the subgroup). It has a extremely easy playstyle with only two buttons in the loop and about 3-4 for the opener. ",DPS,Mesmer,20,http://de.gw2skills.net/editor/?PixAYdrlRwiYIsEmJWOPdPPA-zRJYmRNfZkZK0RFI8sso0G-e,www.youtube.com/watch?v=oKz5_FJ1cxQ,,,[&DQcBJy0dOx7uFQAA4BUAAIEBAACDAQAARhcAAAAAAAAAAAAAAAAAAAAAAAA=],
Best Support,gewoonreneee.2967,"Chrono tank build providing quickness and alacrity, and helping the druid's with a place in the meta.",Support,Mesmer,19,http://gw2skills.net/editor/?PigAs6lVwcYasD2Ie8T5tXA-zRZYehQNGNYkQXOjWkAprA04BJAqAaewwG-e,https://youtu.be/zCMUh8ESDdA," https://dps.report/B50Q-20220428-195451_golem",,[&DQctPhc5KC8jDwAAhxIAALYBAACAAQAA7RIAAAAAAAAAAAAAAAAAAAAAAAA=],
Most Creative,REMagic.8937,"It's a Axe/Pistol + Staff Mirage raid build, that can either greed for highest personal DPS, or dynamically swap to a Staff for ranged damage and great boon output, depending on the situation - since each rotation only uses one weapon set and they use identical traits, this swap can happen midfight!
If the alacrity provider dies, you can take over! Kind of. 50% uptime. But still.",DPS,Mesmer,20,https://snowcrows.com/builds/mesmer/mirage/condition-alacrity-mirage with a sigil of torment,https://youtu.be/e4D625p8DFE,,,[&DQcBJS09OxXuFQAA4BUAAIEBAACDAQAARhcAAAAAAAAAAAAAAAAAAAAAAAA=],
Wildcard,rekinetics.6183,Condi Virtuoso ft. rabid gear!,DPS,Mesmer,18,http://gw2skills.net/editor/?PigAgylVwSYKMEmLe8XtxfA-zRRYMRDHuZQHjR8EoTB4bWO1sC-e,https://youtu.be/42r9vyZLGLk,https://youtu.be/LVHV8AoFk1M,,[&DQctPhgtQj8jDwAAgwEAAIIBAACBAQAA5RoAAAAAAAAAAAAAAAAAAAAAAAA=],
Wildcard,Awesumness.1823,"This build focuses on ease of play and scalability with the APM of the player

It scales roughly:~19k @ 0 APM; ~29k at 11.1 APM; ~33k @ 22 AP

It has incredible CC, easily able to top CC on Aetherblade CM and Samarog

It has class buffs resulting in 25% damage reduction and permanent stability. I've done Samarog without dodging or jumping shockwaves. Gorseval will never knock you

Sword4 and F4 provide blocks for things like Deimos pizza and Mind crush

It has a util skill (Signet of Illusions) that can be swapped to Daze mantra for more CC, Disenchanter for boon rip, Blink for mobility, etc

On Dhuum you can slot in Arcane Thievery instead of Signet of Illusions. This allows you to cleanse the torment AND rip boons from Dhuum after the soul suck. Disenchanter can be used for more rip and less greed

The build still crit caps without banners and spotter, but if either is present, you can swap to a different food without crit overcap. If both buffs are present (pretty rare in pugs these day), you'll overcap

For ~12 APM, just use one bladesong every 5 seconds in this order: Bladesong Sorrow -> Bladesong Harmony -> Bladesong harmony -> Repea

For ~24 APM do the same as above but use dagger 2 right after a bladesong to quickly restock blades and refresh stacks of Compounding Power + Illusionary Defens


Way more detail here: https://wiki.guildwars2.com/wiki/User:Awesumness/Low_Intensity/Condi_Virtuoso#Gameplay_Fundamentals",DPS,Mesmer,11,https://optimizer.discretize.eu/build/?m=raids&v=2&data=XQAAAALHAAAAAAAAAABuAACmbVrlI1EA32Xyvu88PT18faNfxSDNu9-zjURv8r4v1imOTaXno-7_mlWBDPaqy9qgFR8a6XDVgIFIa4bgcOWriE9pR06yPAT6M7DSkEqVl639dB9w6XWcEnlLr4jHbEmk3Qs_tr9XK4Lf5t3mtZKSSglMKvqkLlerVVoSu6Tvzr55_2mYWCs2woLw0kphSb_NGNxQHVnyjhFGj2RkkoGLwX6kbWPCudlKyo402JLjIyitLRvcsa74fdVF___K-GAA,0APM 19.6k https://dps.report/diTV-20220421-145518_golem,"11.1 APM 29,419 dps https://dps.report/KVSj-20220413-142526_golem","22.8 APM 32,519k https://dps.report/SUeI-20220421-160223_golem",[&DQctPhgvQj8jDwAAgQEAAIMBAACCAQAA7RIAAAAAAAAAAAAAAAAAAAAAAAA=],
Wildcard,asterius.3941,"Condi Mechanist, mace but without granade kit",DPS,Engineer,16,https://imgur.com/a/0EUKXeX,https://youtu.be/j_HNI_izSbc,https://youtu.be/2LX9W4T4Wk0,https://www.youtube.com/watch?v=pX6UOb0Y9BA,[&DQMGKyY5RjUNGwAAGhsAABAbAAAOGwAACRsAAAAAAAAAAAAAAAAAAAAAAAA=],
Wildcard,Waldorn.5643,"The AFK Herald

This is a pDPS Build designed to press as less as possible buttons while maintaining acceptable DPS. While this is a meme build obviously, i am convinced it can help some players to better focus on boss mechanics instread of skill presses
i only have 2 power infusions, so the actual benchmark might be 1-2k higher, especially if you use some more expensive enhancements. I decided not to buy that stuff since many players also don't have them, especially beginners

btw, i did this on stream and my viewers can activate some memes and effects on my stream. my viewers were a bit hyped in the beginning of the clip, so, sorry..
also, i can recommend to watch the whole clip... :P",DPS,Revenant,3,http://gw2skills.net/editor/?PmxAwyZlxQHMPyh1RNMO6hRSfMCKgJ7la7H-zRIYR0xfItpAqQK0yIwWHkwYP8W0/MC-e,https://www.twitch.tv/videos/1454136668,https://dps.report/fMOu-20220412-193712_golem,,[&DQkDNg8qND/cEQAA1BEAACsSAAAGEgAAyhEAAAIDAAArEgYS1BEAAAAAAAA=],
Wildcard,Kauna Arget.7052,"Condition Virtuoso - will do 25k with 2 buttons, has a free utility slot, does own stability and can be used to black kite and pylon in raids.",DPS,Mesmer,18,http://gw2skills.net/editor/?PiBBg2hrlVwWZIsEmLe6XdxfA-zRhYNhgC5L0LzoHFVEk5YEJFCVBanFYOrA-e,https://youtu.be/bLuOlRI9rX4,https://youtu.be/tOfLXk6MnWA,https://youtu.be/7lsWrsUbiiA,[&DQctPRgdQj8jDwAA3RoAAIEBAACDAQAA5RoAAAAAAAAAAAAAAAAAAAAAAAA=],
Wildcard,Kirby.7302,"I created a Support Staff Mirage Build, focusing on providing permanent Alacrity and 25 stacks of Might for your Subgroup. The build also generated a good amount of Aegis Applications, Resolution and Swiftness to your subgroup. There is also a decent amount of personal Protection, Vigor and Regeneration if needed
Besides the Boon output, the Build has a high amount of DPS and can compete as a Top-DPS role in Encounters with Confusion sensitive Bosses (see Boss Example)

All this packed within a ""Rotation"" without any shatters or weapon swaps. You don't even need other Boons or Buffs like Quickness or Banners to fulfil your role. This build can perform on its very own without any Compromises on Boon Uptime.
This resolves the Issue of one Player slacking and tearing other Players due to Build Dependencies with him

This makes the Build easy to pull off for new Players trying to access the Endgame PvE in Guild Wars 2. I considered this to be the goal of the Competition.",Support,Mesmer,20,http://de.gw2skills.net/editor/?PigAYZlRwiYIsE2IWyP9vNA-zRJYyRBfZkeC0RBI8lQcd5/pBkBoxEfVA-e,https://www.youtube.com/watch?v=CWaMYg_gGfw,https://www.youtube.com/watch?v=4AGB2KlvA5g,https://www.youtube.com/watch?v=jnY13if3Ors,[&DQcBOS09OxvuFQAA4BUAAIEBAACDAQAA7RIAAAAAAAAAAAAAAAAAAAAAAAA=],
